product_id,review_count_observed,review_avg_rating,recommendation_rate,avg_helpfulness,avg_review_length,skin_share_dry,theme_lightweight_count,theme_greasy_count,theme_hydrating_count,theme_drying_count,theme_fragrance_count,theme_irritation_count,theme_breakout_count,theme_absorption_count,theme_sticky_count,theme_texture_count,theme_effective_count,skin_share_unknown,skin_share_combination,skin_share_normal,skin_share_oily,skin_share_sensitive
P478030,3000,3.604,0.6406666666666667,0.7219170879880844,327.56933333333336,0.21833333333333332,7,560,295,548,364,542,256,10,34,1336,626,0.017333333333333333,0.5106666666666667,0.12333333333333334,0.13033333333333333,0.0
P232915,2991,4.436308926780341,0.8963553530751709,0.7663260661953282,338.16516215312606,0.08625877632898696,2,157,139,335,384,835,482,17,1,1101,1002,0.4446673353393514,0.3119358074222668,0.08391842193246406,0.0732196589769308,0.0
P422905,2966,4.464261631827377,0.9022252191503709,0.7619037254407792,298.6874578556979,0.17869184086311532,327,306,1653,507,368,387,40,239,101,1219,440,0.014834794335805798,0.5472016183412003,0.14295347269049224,0.11631827376938637,0.0
P430337,2961,4.340425531914893,0.8662613981762918,0.7877899824250149,361.02600472813236,0.17933130699088146,260,735,1581,640,1037,349,383,203,221,1404,480,0.00911854103343465,0.5528537656197231,0.1347517730496454,0.12394461330631544,0.0
P302103,2958,4.283975659229209,0.7872174590802806,0.7773503700431701,274.4313725490196,0.09905341446923598,10,93,823,751,334,76,16,35,137,843,524,0.4455713319810683,0.299526707234618,0.09533468559837728,0.06051386071670047,0.0
P439061,2957,4.192762935407508,0.8359824146094014,0.7490246479534506,360.15759215421036,0.1487994589110585,8,156,239,406,715,646,953,39,46,919,875,0.0057490700033818055,0.5715251944538383,0.12005410889414947,0.15387216773757187,0.0
P375849,2951,4.080989495086412,0.7700819672131147,0.740808534470259,388.9749237546594,0.1470687902405964,92,243,551,370,631,321,531,228,118,1244,781,0.11047102677058625,0.5272788885123687,0.11419857675364284,0.10098271772280583,0.0
P426183,2949,4.08070532383859,0.7698933552091879,0.7407709893778563,389.01797219396406,0.14682943370634113,92,243,551,370,631,321,530,228,118,1244,780,0.11054594777890811,0.5272973889454052,0.11427602577144795,0.10105120379789759,0.0
P456398,2937,4.486550902281239,0.9210078311201907,0.7805425494024616,333.75621382362954,0.1634320735444331,383,1230,373,233,1212,326,182,309,240,1458,472,0.005447735784814436,0.5607763023493361,0.15253660197480423,0.1178072863466122,0.0
P94421,2914,4.24468085106383,0.8407185628742515,0.7490061065414515,355.818462594372,0.13212079615648592,108,299,530,235,365,332,778,202,181,862,960,0.13349347975291695,0.5226492793411118,0.11015785861358957,0.10157858613589568,0.0
P427406,2897,4.344839489126683,0.8584742837418019,0.7874497829529636,300.70590265792197,0.17397307559544356,2,190,232,406,155,731,810,38,127,800,832,0.014497756299620296,0.5505695547117708,0.10424577148774594,0.1567138419054194,0.0
P431180,2852,3.9544179523141656,0.7671809256661991,0.7857483284552019,385.2517531556802,0.18162692847124826,10,57,1004,154,715,179,248,33,64,222,771,0.012272089761570827,0.5112201963534362,0.19600280504908835,0.09887798036465638,0.0
P173726,2827,4.828440042447824,0.952638700947226,0.8007301075590981,239.8001414927485,0.1255748142907676,2,2,14,28,2,219,15,272,0,428,167,0.3781393703572692,0.3346303501945525,0.08595684471170853,0.07569862044570216,0.0
P481084,2783,4.320158102766799,0.8864534674811355,0.5892928499145572,350.3366870283866,0.16852317642831477,116,639,1558,527,1084,287,177,333,118,1655,560,0.006827164929931728,0.5727632051742724,0.16277398490837225,0.08911246855910887,0.0
P479839,2783,4.320158102766799,0.8864534674811355,0.5892928499145572,350.3366870283866,0.16852317642831477,116,639,1558,527,1084,287,177,333,118,1655,560,0.006827164929931728,0.5727632051742724,0.16277398490837225,0.08911246855910887,0.0
P426836,2704,3.9423076923076925,0.7337278106508875,0.7732826128775896,323.6719674556213,0.17159763313609466,21,300,283,937,369,656,641,4,16,1146,477,0.011094674556213017,0.5495562130177515,0.13868343195266272,0.1290680473372781,0.0
P421235,2607,4.2493287303413885,0.8657228657228657,0.6443666290507277,371.97429996164175,0.1595703874184887,100,645,532,305,856,274,198,298,223,1378,646,0.09666283084004602,0.5285769083237438,0.12850019179133104,0.08668968162639049,0.0
P278317,2573,4.276719782355228,0.8454391891891891,0.7746211202637584,328.8705790905558,0.12125923047026817,1,187,284,560,202,813,695,58,98,712,673,0.46327244461717837,0.28721336960746213,0.06296152351340847,0.06529343179168286,0.0
